Campaign,Campaign Daily Budget,Campaign Type,Networks,Languages,Bid Strategy Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
C1 - Marca,,,,,,,Lutron,,,,,Responsive search ad,https://www.omniious.com/lutron,lutron,cdmx,Integrador Lutron en CDMX,Certificados en Lutron,HomeWorks · Athena · Vive,RadioRA 3 y myRoom,"Diseño, instalación y ajuste",Escenas que sí funcionan,Programación documentada,Cortinas en la misma escena,Un solo responsable,Proyecto lumínico incluido,Residencial y corporativo,Hotelería con myRoom,,,,"Certificados en los cinco sistemas Lutron. Diseñamos, instalamos y programamos.",El mismo equipo que especifica es el que instala y entrega funcionando.,"Control por zonas y escenas, integrado con cortinas. Documentado para operar.","Residencias, oficinas, hoteles y espacios comerciales en CDMX.",Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,9,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,notifier,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,notifier,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,notifier mexico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,notifier mexico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,fire lite,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,fire lite,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,fire-lite alarmas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,fire-lite alarmas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,distribuidor notifier,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,distribuidor notifier,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,panel notifier,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,panel notifier,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,deteccion de incendio notifier,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,deteccion de incendio notifier,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,integrador notifier,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,integrador notifier,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Notifier y Fire-Lite,,,,,Responsive search ad,https://www.omniious.com/instalaciones-especiales,deteccion,incendio,Detección de Incendio CDMX,Certificados Notifier,Notifier y Fire-Lite,Ingeniería y registros,Cumple NOM-002 y NFPA 72,¿Pasaría una inspección?,Pruebas periódicas firmadas,Integrado a control de acceso,Detección para empresas,Revisión de cumplimiento,Sistemas direccionables,Un solo responsable,,,,"Certificados Notifier y Fire-Lite. Ingeniería, instalación y los registros de norma.","Sistemas direccionables y convencionales, integrados con BMS y rutas de evacuación.","Revisión de cumplimiento en sitio, sin costo. Reporte de brechas por escrito.",Pruebas periódicas documentadas y firmadas para tu carpeta de protección civil.,Paused
C1 - Marca,,,,,,,Somfy y cortinas,8,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 - Marca,,,,,,,Somfy y cortinas,,,somfy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,somfy,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,somfy mexico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,somfy mexico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,cortinas motorizadas somfy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,cortinas motorizadas somfy,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,distribuidor somfy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,distribuidor somfy,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,motorizacion somfy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,motorizacion somfy,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,cortinas motorizadas lutron,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,cortinas motorizadas lutron,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Somfy y cortinas,,,,,Responsive search ad,https://www.omniious.com/lutron,cortinas,motorizadas,Cortinas Motorizadas CDMX,Somfy y Lutron,Motorización de persianas,Integradas a tus escenas,Instalación y programación,Control por zonas,Residencial y corporativo,Un solo responsable,Telas y sistemas a medida,,,,,,,"Motorización de cortinas y persianas, integrada al mismo control de iluminación.","Somfy y Lutron, instalados y programados por el equipo que diseña la escena.","Para residencias, oficinas y hotelería en Ciudad de México.",,Paused
C1 - Marca,,,,,,,Omniious,3,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 - Marca,,,,,,,Omniious,,,omniious,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omniious,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omniious cdmx,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omniious cdmx,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omniious iluminacion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omniious iluminacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omm technologies,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,omm technologies,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C1 - Marca,,,,,,,Omniious,,,,,Responsive search ad,https://www.omniious.com/,omniious,,OMNIIOUS,Omniious · Sitio Oficial,Iluminación e ingeniería,Instalaciones especiales,Arquitectura de luz,CDMX desde 2019,"Diseño, instalación y obra",Un solo responsable,,,,,,,,"Iluminación arquitectónica, ingeniería eléctrica e instalaciones especiales.","Diseñamos, instalamos y construimos. Coordinado con tu obra, en Ciudad de México.","Una sola contraparte para iluminación, eléctrica, redes y seguridad.",,Paused
C2 - Servicios,115,Search,Google search,es,Manual CPC,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - Servicios,,,,,,,Subestacion y media tension,13,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion electrica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion electrica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion electrica compacta,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion electrica compacta,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,instalacion de subestacion electrica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,instalacion de subestacion electrica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion en media tension,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion en media tension,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,acometida en media tension,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,acometida en media tension,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,proyecto de subestacion electrica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,proyecto de subestacion electrica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion electrica para edificio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,subestacion electrica para edificio,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,mantenimiento de subestacion electrica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,mantenimiento de subestacion electrica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,puesta en servicio subestacion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,puesta en servicio subestacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,media tension instalacion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,media tension instalacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,aumento de carga cfe,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,aumento de carga cfe,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,tramite aumento de carga cfe,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,tramite aumento de carga cfe,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Subestacion y media tension,,,,,Responsive search ad,https://www.omniious.com/electrica,subestacion,media-tension,Subestación Eléctrica CDMX,Subestaciones en MT/BT,Proyecto y puesta en marcha,Acometida en media tensión,Ingeniería y memoria,Para edificio corporativo,Industria y comercial,Mantenimiento de subestación,Trámite ante CFE incluido,Un solo responsable,Documentación completa,Coordinado con tu obra,,,,"Proyecto, instalación y puesta en servicio de subestaciones en media y baja tensión.","Memoria de cálculo, planos y documentación para trámite. Coordinado con la obra.","Corporativos, industria y comercial en CDMX y zona metropolitana.",Mantenimiento periódico con reporte. El mismo equipo que la instaló.,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,16,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,instalacion de cableado estructurado,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,instalacion de cableado estructurado,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado de redes,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado de redes,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado cat6a,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado cat6a,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,certificacion de cableado estructurado,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,certificacion de cableado estructurado,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado para oficinas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cableado estructurado para oficinas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,empresa de cableado estructurado cdmx,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,empresa de cableado estructurado cdmx,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,infraestructura de red,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,infraestructura de red,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,red corporativa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,red corporativa,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,redes corporativas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,redes corporativas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,site survey wifi,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,site survey wifi,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cuarto de telecomunicaciones,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,cuarto de telecomunicaciones,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,certificacion de fibra optica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,certificacion de fibra optica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,fibra optica corporativa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,fibra optica corporativa,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Redes e infraestructura,,,,,Responsive search ad,https://www.omniious.com/instalaciones-especiales,redes,cableado,Cableado Estructurado CDMX,Cableado Cat6A certificado,Certificación con reporte,Infraestructura de red,Para oficinas y corporativo,Site survey de WiFi,Fibra óptica y enlaces,Cuarto de telecomunicaciones,"Ingeniería, no solo cable",Documentado y etiquetado,Multisitio y estandarizado,Un solo responsable,,,,"Cableado estructurado con certificación, reporte por enlace y documentación as-built.","No vendemos cable: entregamos ingeniería, certificación y una red que aguanta crecer.","Oficinas, corporativos y retail multisitio en Ciudad de México.","Site survey de WiFi, fibra óptica y cuarto de telecomunicaciones.",Paused
C2 - Servicios,,,,,,,Audio profesional,14,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - Servicios,,,,,,,Audio profesional,,,audio distribuido,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,audio distribuido,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,sonorizacion comercial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,sonorizacion comercial,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,sonorizacion empresas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,sonorizacion empresas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,audio ambiental comercial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,audio ambiental comercial,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,audio por zonas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,audio por zonas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,musica ambiental para negocio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,musica ambiental para negocio,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,voceo y perifoneo,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,voceo y perifoneo,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,sonorizacion de restaurante,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,sonorizacion de restaurante,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,instalacion de audio comercial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,instalacion de audio comercial,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Audio profesional,,,,,Responsive search ad,https://www.omniious.com/instalaciones-especiales,audio,zonas,Audio Distribuido CDMX,Sonorización comercial,Audio por zonas,Para restaurante y hotel,Música ambiental por zona,Voceo y perifoneo,Diseño e instalación,Integrado a la obra,Un solo responsable,,,,,,,"Diseño e instalación de audio distribuido por zonas para restaurantes, hoteles y oficinas.",Sonorización coordinada con la obra y con el control de iluminación.,"Voceo, música ambiental y audio por zonas, entregado funcionando.",,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,7,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño de iluminacion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño de iluminacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño de iluminacion arquitectonica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño de iluminacion arquitectonica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,proyecto de iluminacion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,proyecto de iluminacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,proyecto luminico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,proyecto luminico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,calculo luminico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,calculo luminico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,despacho de diseño de iluminacion,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,despacho de diseño de iluminacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño de iluminacion comercial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño de iluminacion comercial,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño iluminacion restaurante,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño iluminacion restaurante,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño iluminacion hotel,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,diseño iluminacion hotel,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,iluminacion arquitectonica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,iluminacion arquitectonica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,especificacion de luminarias,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,especificacion de luminarias,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,estudio luminotecnico,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,estudio luminotecnico,Exact,,,,,,,,,,,,,,,,,,,,,,,,Paused
C2 - Servicios,,,,,,,Iluminacion y proyecto luminico,,,,,Responsive search ad,https://www.omniious.com/iluminacion,iluminacion,proyecto,Diseño de Iluminación CDMX,Proyecto lumínico completo,Cálculo y especificación,Planos de reflejado,Diseñamos y ejecutamos,Para restaurante y retail,Arquitectura e interiorismo,Escenas por horario,Especificación con respaldo,Un solo responsable,Levantamiento sin costo,Coordinado con tu obra,,,,"Proyecto lumínico con cálculo, especificación y planos — y el equipo que lo instala.","A diferencia de un despacho, también ejecutamos. Una sola contraparte responsable.","Restaurantes, retail, corporativo y residencial en Ciudad de México.",Revisión de especificación sin costo para arquitectos y despachos.,Paused
C2 - Servicios,,,,,,,Instalaciones especiales y proyecto ejecutivo,10,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
